Coords,Lat,Long,Seed,xxhashShuffleBreakThroughTech,SiteName,Locales,TerrainType,Topography,Rating,Altitude,Temperature,Difficulty,MetalsBars,ConcreteBars,WaterBars,DustDevilsBars,DustStormBars,MeteorBars,ColdWaveBars,Metals,Concrete,Water,DustDevils,DustStorm,Meteor,ColdWave,MapTemplateID
70N180W,-70.0,-180.0,7796061961475928883,-2997692114663225755,,0,30,Very Flat,40,-4276,-100,220,1,2,1,1,1,1,4,30,90,0,34,59,30,255,BlankBigTerraceCMix_04
70N179W,-70.0,-179.0,8466496592530756944,-6175759304977563477,,0,36,Very Flat,40,-4276,-98,225,1,2,1,1,2,1,4,36,109,0,34,73,36,249,BlankBigHeartCMix_03
70N178W,-70.0,-178.0,-2275183642132035166,-9019348722101417563,,0,36,Very Flat,40,-4276,-95,225,1,2,1,1,2,1,4,36,109,0,34,73,36,243,BlankBigTerraceCMix_04
70N177W,-70.0,-177.0,6827915919913171270,-3164593934671674449,,0,36,Very Flat,0,-4276,-88,225,1,2,1,1,2,1,4,36,109,0,34,73,36,225,BlankBig_03
70N176W,-70.0,-176.0,2975818562565603348,3737188178347474625,,0,36,Very Flat,40,-4276,-86,225,1,2,1,1,2,1,4,36,109,0,34,73,36,219,BlankBigTerraceCMix_04
70N175W,-70.0,-175.0,1477433769860251243,5651044543531498713,,0,36,Very Flat,40,-4276,-86,225,1,2,1,1,2,1,4,36,109,1,34,73,36,220,BlankBigTerraceCMix_11
70N174W,-70.0,-174.0,6776489806138275132,-7700134668564042865,,0,36,Very Flat,40,-4276,-86,225,1,2,1,1,2,1,4,36,109,1,34,73,36,219,BlankBigTerraceCMix_16
70N173W,-70.0,-173.0,-9081069654559775633,-1551854801984889283,,0,36,Very Flat,0,-4276,-86,225,1,2,1,1,2,1,4,36,109,1,34,73,36,219,BlankBigTerraceCMix_15
70N172W,-70.0,-172.0,5205115277881430254,-1417012387330644340,,0,36,Very Flat,40,-4276,-86,225,1,2,1,1,2,1,4,36,109,0,34,73,36,219,BlankBigTerraceCMix_11
70N171W,-70.0,-171.0,698279640914411674,1974104966353591652,,0,36,Very Flat,0,-4276,-86,225,1,2,1,1,2,1,4,36,109,0,34,73,36,220,BlankBigTerraceCMix_15
70N170W,-70.0,-170.0,1307815437419247237,-7422534303645711742,,0,36,Very Flat,0,-4276,-86,225,1,2,1,1,2,1,4,36,109,0,34,73,36,220,BlankBig_04
70N169W,-70.0,-169.0,-7149003506073914280,6898719530960550524,,0,36,Very Flat,40,-4276,-86,225,1,2,1,1,2,1,4,36,114,0,34,73,36,219,BlankBigTerraceCMix_14
70N168W,-70.0,-168.0,-4850751465928230265,4469630383127868720,,0,36,Very Flat,0,-4276,-86,220,1,3,1,1,2,1,4,36,147,0,34,73,36,219,BlankBigTerraceCMix_15
70N167W,-70.0,-167.0,2150067981296011758,-6157894307303368079,,0,36,Very Flat,40,-4276,-86,220,1,3,1,1,2,1,4,36,146,0,34,73,36,219,BlankBigTerraceCMix_03
70N166W,-70.0,-166.0,8889476171031858912,-2514218941727881996,,0,36,Very Flat,40,-4161,-86,220,1,3,1,1,2,1,4,36,146,0,35,73,36,219,BlankBigCliffsCMix_02
70N165W,-70.0,-165.0,-2599435592909012743,-5959512300099370,,0,36,Very Flat,40,-4276,-86,225,1,2,1,1,2,1,4,36,109,0,34,73,36,220,BlankBigCliffsCMix_01
70N164W,-70.0,-164.0,7674528329247101124,5088188763952330526,,0,36,Very Flat,40,-4276,-86,230,1,2,1,1,2,1,4,36,85,0,34,73,36,218,BlankBigTerraceCMix_06
70N163W,-70.0,-163.0,-338626519767380132,5299614031810601663,,0,36,Very Flat,0,-4276,-86,235,1,1,1,1,2,1,4,35,48,0,34,73,36,219,BlankBig_04
70N162W,-70.0,-162.0,-6858712201813421911,-3336392162404307742,,0,36,Very Flat,0,-4276,-91,235,1,1,1,1,2,1,4,35,35,0,34,73,36,231,BlankBig_04
70N161W,-70.0,-161.0,-1497223375405927381,8642444798416470968,,0,36,Very Flat,40,-4276,-96,235,1,1,1,1,2,1,4,36,37,0,34,73,36,244,BlankBigCanyonCMix_09
70N160W,-70.0,-160.0,-5152590743355072990,5649985899656514683,,0,36,Very Flat,40,-4161,-100,235,1,1,1,1,2,1,4,36,36,0,35,73,36,255,BlankBigTerraceCMix_06
70N159W,-70.0,-159.0,-1326542876770643136,7624759987144081873,,0,36,Very Flat,0,-4161,-100,235,1,1,1,1,2,1,4,36,36,0,35,73,36,255,BlankBigCanyonCMix_07
70N158W,-70.0,-158.0,5470064811070144654,2820154383740649379,,0,36,Very Flat,40,-4161,-100,235,1,1,1,1,2,1,4,36,36,0,35,73,36,255,BlankBigCliffsCMix_01
70N157W,-70.0,-157.0,5759401391753282870,-5210415340340693958,,0,36,Very Flat,0,-4161,-98,235,1,1,1,1,2,1,4,36,36,0,35,73,36,249,BlankBig_03
70N156W,-70.0,-156.0,8490863848187257614,-1654381983911547525,,0,36,Very Flat,0,-4392,-95,235,1,1,1,1,2,1,4,30,36,0,33,72,36,243,BlankBigTerraceCMix_15
70N155W,-70.0,-155.0,-6529635074922758074,7560241174626169291,,0,36,Very Flat,40,-4276,-91,235,1,1,1,1,2,1,4,24,36,0,34,74,36,231,BlankBigTerraceCMix_08
70N154W,-70.0,-154.0,-7877357386568482278,2888654283771283137,,0,36,Very Flat,40,-4161,-88,235,1,1,1,1,2,1,4,12,36,0,35,73,36,225,BlankBigCliffsCMix_02
